Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,0,30.2,0,0,330968,7.7792,320,2
1,0,36,0,0,17531,31.6792,100,1
3,0,18.5,0,0,329944,7.2833,320,2
1,0,63,1,0,17483,221.7792,300,3
3,1,18,1,0,2680,14.4542,320,1
3,1,30.2,0,0,2681,6.4375,320,1
3,0,1,1,1,9549,16.7,700,3
1,1,36,0,0,13050,75.2417,300,1
2,0,29,1,0,29037,26,320,3
2,0,12,0,0,33595,15.75,320,3
3,1,30.2,1,0,367227,7.75,320,2
1,0,35,1,0,13236,57.75,300,1
3,1,28,0,0,392095,7.25,320,3
3,1,30.2,0,0,368783,7.75,320,2
3,0,17,0,1,371362,16.1,320,3
3,1,22,0,0,350045,7.7958,320,3
3,0,30.2,2,0,367226,23.25,320,2
2,1,42,0,0,211535,13,320,3
3,1,24,0,0,342441,8.05,320,3
3,1,32,0,0,369943,8.05,320,3
1,1,53,0,0,113780,28.5,300,1
3,0,30.2,0,4,4133,25.4667,320,3
3,1,30.2,1,0,2621,6.4375,320,1
3,1,43,0,0,349226,7.8958,320,3
3,1,24,0,0,350409,7.8542,320,3
3,1,26.5,0,0,2656,7.225,320,1
2,1,26,0,0,248659,13,320,3
3,0,23,0,0,392083,8.05,320,3
3,1,40,1,6,2144,46.9,320,3
3,0,10,5,2,2144,46.9,320,3
1,0,33,0,0,113781,151.55,320,3
1,1,61,1,3,17608,262.375,200,1
2,1,28,0,0,244358,26,320,3
1,1,42,0,0,17475,26.55,320,3
3,1,31,3,0,345763,18,320,3
1,1,30.2,0,0,17463,51.8625,500,3
3,1,22,0,0,423568,8.05,320,3
1,1,30.2,0,0,113791,26.55,320,3
2,1,30,1,1,250651,26,320,3
1,0,23,0,1,11767,83.1583,300,1
3,1,30.2,0,0,349255,7.8958,320,1
3,1,60.5,0,0,3701,-1,320,3
3,0,36,0,2,350405,12.1833,320,3
3,1,13,4,2,347077,31.3875,320,3
3,1,24,0,0,752,7.55,320,3
1,0,29,0,0,17483,221.7792,300,3
3,0,23,0,0,347469,7.8542,320,3
1,1,42,0,0,110489,26.55,400,3
3,0,26,0,2,3101315,13.775,320,3
3,0,30.2,0,0,335432,7.7333,320,2
3,1,7,1,1,2650,15.2458,320,1
2,0,26,0,0,220844,13.5,320,3
3,1,30.2,0,0,343271,7,320,3
2,1,41,0,0,237393,13,320,3
3,0,26,1,1,315153,22.025,320,3
1,1,48,0,0,17591,50.4958,200,1
3,1,18,2,2,6608,34.375,320,3
1,0,30.2,0,0,17770,27.7208,320,1
3,0,22,0,0,7548,8.9625,320,3
3,1,30.2,0,0,251,7.55,320,3
3,1,27,0,0,2670,7.225,320,1
3,1,23,1,0,347072,13.9,320,3
3,1,30.2,0,0,2673,7.2292,320,1
3,1,40,1,5,347077,31.3875,320,3
2,0,15,0,2,29750,39,320,3
2,0,20,0,0,33112,36.75,320,3
1,1,54,1,0,11778,55.4417,300,1
2,0,36,0,3,230136,39,600,3
1,0,64,0,2,17756,83.1583,500,1
2,1,30,0,0,233478,13,320,3
1,1,37,1,1,17756,83.1583,500,1
1,0,18,1,0,113773,53.1,400,3
3,1,30.2,0,0,7935,7.75,320,2
1,0,27,1,1,17558,247.5208,200,1
2,1,40,0,0,239059,16,320,3
2,0,21,0,1,2,21,320,3
3,1,17,2,0,448873,8.05,320,3
3,0,30.2,8,2,2343,69.55,320,3
2,1,40,0,0,28221,13,320,3
2,1,34,1,0,226875,26,320,3
1,1,30.2,0,0,111163,26,320,3
3,1,11.5,1,1,5851,14.5,320,3
2,1,61,0,0,235509,12.35,320,2
2,1,8,0,2,28220,32.5,320,3
3,1,33,0,0,347465,7.8542,320,3
1,1,6,0,2,16966,134.5,500,1
3,0,18,0,0,347066,7.775,320,3
2,1,23,0,0,31030,10.5,320,3
3,0,30.2,0,0,65305,8.1125,320,3
3,0,30.2,0,0,36568,15.5,320,2
3,1,0.33,0,2,347080,14.4,320,3
1,1,47,1,0,17757,227.525,300,1
2,0,8,1,1,26360,26,320,3
2,1,25,0,0,34050,10.5,320,3
1,1,30.2,0,0,12998,25.7417,320,1
3,0,35,0,0,9232,7.75,320,2
2,1,24,0,0,28034,10.5,320,3
1,0,33,0,0,17613,27.7208,100,1
3,1,25,0,0,349250,7.8958,320,3
3,1,32,0,0,4001,22.525,320,3
3,1,30.2,0,0,3101308,7.05,320,3
2,1,17,0,0,14879,73.5,320,3
2,0,60,1,0,24065,26,320,3
3,0,38,4,2,347091,7.775,320,3
1,1,42,0,0,113038,42.5,200,3
3,0,30.2,0,0,330924,7.8792,320,2
1,1,57,1,1,36928,164.8667,320,3
1,0,50,1,1,113503,211.5,300,1
3,1,30.2,0,0,32302,8.05,320,3
2,0,30,1,0,2148,13.8583,320,1
3,1,21,0,0,342684,8.05,320,3
2,0,22,0,0,14266,10.5,600,3
3,1,21,0,0,350053,7.7958,320,3
1,0,53,0,0,17606,27.4458,320,1
3,0,30.2,0,2,2661,15.2458,320,1
3,1,23,0,0,350054,7.7958,320,3
3,0,30.2,0,0,370368,7.75,320,2
3,1,40.5,0,0,6212,15.1,320,3
2,1,36,0,0,242963,13,320,3
2,1,14,0,0,220845,65,320,3
1,0,21,0,0,113795,26.55,320,3
3,1,21,1,0,3101266,6.4958,320,3
3,1,30.2,0,0,330971,7.8792,320,2
1,1,39,1,0,17599,71.2833,300,1
3,1,20,0,0,350416,7.8542,320,3
1,1,64,1,0,110813,75.25,400,1
3,1,20,0,0,2679,7.225,320,1
2,0,18,1,1,250650,13,320,3
1,0,48,1,0,17761,106.425,300,1
1,0,55,0,0,112377,27.7208,320,1
2,0,45,0,2,237789,30,320,3
1,1,45,1,1,16966,134.5,500,1
3,1,30.2,0,0,3470,7.8875,320,3
3,1,30.2,1,2,6607,23.45,320,3
1,1,41,1,0,17464,51.8625,400,3
2,0,22,0,0,13534,21,320,3
2,1,42,1,1,28220,32.5,320,3
2,0,29,1,0,26707,26,320,3
3,0,30.2,1,0,2660,14.4542,320,1
2,0,0.92,1,2,34651,27.75,320,3
3,1,20,0,0,23101284,7.925,320,3
1,1,27,1,0,13508,136.7792,300,1
3,1,24,0,0,7266,9.325,320,3
3,1,32.5,0,0,345775,9.5,320,3
3,1,30.2,0,0,42795,7.55,320,3
3,1,30.2,0,0,43130,7.75,320,2
3,1,28,0,0,363611,8.05,320,3
2,0,19,0,0,28404,13,320,3
3,1,21,0,0,345501,7.775,320,3
3,1,36.5,1,0,345572,17.4,320,3
3,1,21,0,0,350410,7.8542,320,3
2,0,29,0,2,29103,23,320,3
3,0,1,1,1,350405,12.1833,320,3
2,1,30,0,0,34644,12.7375,320,1
3,1,30.2,0,0,349235,7.8958,320,3
1,1,30.2,0,0,112051,0,320,3
3,1,30.2,0,0,49867,7.55,320,3
3,0,30.2,0,0,239186,8.05,320,3
3,1,17,0,0,315095,8.6625,320,3
1,1,46,0,0,13050,75.2417,300,1
3,1,30.2,0,0,368573,7.75,320,2
1,0,26,1,0,13508,136.7792,300,1
3,0,30.2,1,0,370371,15.5,320,2
3,1,30.2,0,0,2676,7.225,320,1
2,0,20,1,0,236853,26,320,3
2,1,28,0,0,14888,10.5,320,3
2,1,40,1,0,2926,26,320,3
2,1,30,1,0,31352,21,320,3
2,1,22,0,0,14260,10.5,320,3
3,0,23,0,0,315085,8.6625,320,3
3,1,0.75,1,1,3101315,13.775,320,3
3,0,30.2,0,0,364859,7.75,320,2
3,0,9,1,1,2650,15.2458,320,1
3,0,2,1,1,370129,20.2125,320,3
3,1,36,0,0,521175,7.25,320,3
3,1,30.2,0,0,3101314,7.25,320,3
1,1,24,1,0,21228,82.2667,200,3
3,1,30.2,0,0,2655,7.2292,550,1
3,1,30.2,0,0,51478,8.05,320,3
1,1,30.2,0,0,17607,39.6,320,3
3,0,30,0,0,382650,6.95,320,2
3,1,30.2,0,0,2652,7.2292,320,1
1,1,53,1,1,33638,81.8583,100,3
3,1,36,0,0,345771,9.5,320,3
3,1,26,0,0,349202,7.8958,320,3
2,0,1,1,2,2123,41.5792,320,1
3,1,30.2,2,0,2662,21.6792,320,1
1,1,30,0,0,113801,45.5,320,3
3,1,29,0,0,347467,7.8542,320,3
3,1,32,0,0,347079,7.775,320,3
2,1,30.2,0,0,237735,15.0458,400,1
2,1,43,0,1,2,21,320,3
3,1,24,0,0,315092,8.6625,320,3
3,0,30.2,0,0,383123,7.75,320,2
1,0,64,1,1,112901,26.55,200,3
1,1,30,1,2,113781,151.55,300,3
3,1,0.83,0,1,392091,9.35,320,3
1,1,55,1,1,12749,93.5,200,3
3,0,45,1,0,350026,14.1083,320,3
3,1,18,0,0,315091,8.6625,320,3
3,1,22,0,0,2658,7.225,320,1
3,1,30.2,0,0,1588,7.575,320,3
3,0,37,0,0,368364,7.75,320,2
1,0,55,0,0,17760,135.6333,300,1
3,0,17,0,0,330631,7.7333,320,2
1,1,57,1,0,17569,146.5208,200,1
2,1,19,0,0,28004,10.5,320,3
3,1,27,0,0,350408,7.8542,320,3
2,1,22,2,0,31029,31.5,320,3
3,1,26,0,0,347075,7.775,320,3
3,1,25,0,0,2654,7.2292,550,1
2,1,26,0,0,244368,13,600,3
1,1,33,0,0,113790,26.55,320,3
1,0,39,0,0,24160,211.3375,320,3
3,1,23,0,0,3101309,7.05,320,3
2,0,12,2,1,230136,39,600,3
1,1,46,0,0,17585,79.2,320,1
2,1,29,1,0,2003,26,320,3
2,1,21,0,0,236854,13,320,3
2,0,48,0,2,33112,36.75,320,3
1,1,39,0,0,17580,29.7,100,1
3,1,30.2,0,0,2684,7.225,320,1
3,0,19,1,1,2653,15.7417,320,1
3,1,27,0,0,349229,7.8958,320,3
1,1,30,0,0,110469,26,300,3
2,1,32,0,0,244360,13,320,3
3,1,39,0,2,2675,7.2292,320,1
2,1,25,0,0,31029,31.5,320,3
3,1,30.2,0,0,2622,7.2292,320,1
2,1,18,0,0,15185,10.5,320,3
3,1,32,0,0,350403,7.5792,320,3
3,1,30.2,1,9,2343,69.55,320,3
1,0,58,0,1,17755,512.3292,200,1
3,1,30.2,1,1,5851,14.5,320,3
3,0,16,0,0,348125,7.65,320,3
2,1,26,0,0,237670,13,320,3
3,0,38,0,0,2688,7.2292,320,1
2,1,24,0,0,248726,13.5,320,3
2,0,31,0,0,13528,21,320,3
1,0,45,0,1,17759,63.3583,400,1
2,1,25,0,0,13540,10.5,320,3
2,1,18,0,0,14879,73.5,320,3
2,1,49,1,2,220845,65,320,3
3,0,0.17,1,2,2315,20.575,320,3
1,1,50,0,0,113044,26,500,3
1,0,59,2,0,11769,51.4792,300,3
3,1,30.2,0,0,1222,7.8792,320,3
3,1,30.2,0,0,368402,7.75,320,2
3,0,30,1,0,349910,15.55,320,3
3,1,14.5,8,2,2343,69.55,320,3
2,0,24,1,1,2079,37.0042,320,1
2,0,31,0,0,31352,21,320,3
3,1,27,0,0,315083,8.6625,320,3
1,0,25,1,0,11765,55.4417,500,1
3,0,30.2,1,9,2343,69.55,320,3
3,1,30.2,1,0,2689,14.4583,320,1
3,0,22,0,0,3101295,39.6875,320,3
1,0,45,0,1,112378,59.4,320,1
2,1,29,0,0,2147,13.8583,320,1
2,1,21,1,0,28133,11.5,320,3
1,0,31,0,0,16966,134.5,500,1
1,1,49,0,0,112058,0,200,3
2,1,44,0,0,248746,13,320,3
1,0,54,1,1,33638,81.8583,100,3
1,0,45,0,0,17608,262.375,320,1
3,0,22,2,0,315152,8.6625,320,3
2,1,21,0,0,29107,11.5,320,3
1,1,55,0,0,680,50,300,3
3,1,5,4,2,347077,31.3875,320,3
3,1,30.2,0,0,366713,7.75,320,2
3,1,26,0,0,330910,7.8792,320,2
3,0,30.2,0,0,364498,14.5,320,3
3,0,19,1,0,376566,16.1,320,3
2,1,30.2,0,0,2159,12.875,320,3
2,0,24,1,2,220845,65,320,3
3,1,24,0,0,349911,7.775,320,3
2,1,57,0,0,244346,13,320,3
3,1,21,0,0,364858,7.75,320,2
3,1,6,3,1,349909,21.075,320,3
1,1,23,0,0,12749,93.5,200,3
1,0,51,0,1,17592,39.4,400,3
3,1,13,0,2,2673,20.25,320,3
2,1,47,0,0,30769,10.5,320,3
3,1,29,3,1,315153,22.025,320,3
1,0,18,1,0,13695,60,300,3
3,1,24,0,0,371109,7.25,320,2
1,0,48,1,1,13567,79.2,200,1
3,1,22,0,0,347065,7.775,320,3
3,1,31,0,0,21332,7.7333,320,2
1,0,30,0,0,36928,164.8667,300,3
2,1,38,1,0,28664,21,320,3
1,0,22,0,1,112378,59.4,320,1
1,1,17,0,0,113059,47.1,320,3
1,1,43,1,0,17765,27.7208,400,1
2,1,20,0,0,2166,13.8625,400,1
2,1,23,1,0,28666,10.5,320,3
1,1,50,1,1,113503,211.5,300,1
3,0,30.2,0,0,334915,7.7208,320,2
3,0,3,1,1,3101315,13.775,320,3
3,0,30.2,0,0,365237,7.75,320,2
1,0,37,1,0,19928,90,300,2
3,0,28,0,0,347086,7.775,320,3
3,1,30.2,0,0,53236,8.05,320,3
1,0,39,0,0,17758,108.9,300,1
3,1,38.5,0,0,3101262,7.25,320,3
3,1,30.2,0,0,359309,8.05,320,3
3,1,30.2,1,1,2668,22.3583,320,1
