Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,1,30.2,2,0,2662,21.6792,340,1
3,0,18,1,0,349237,17.8,340,3
3,1,7,4,1,3101295,39.6875,340,3
3,1,21,0,0,439886,7.8,340,3
1,0,49,1,0,17572,76.7292,340,1
2,0,29,1,0,2926,26,400,3
1,1,65,0,1,113509,61.9792,340,1
1,1,30.2,0,0,19947,35.5,200,3
2,0,21,0,0,31026,10.5,300,3
3,1,28.5,0,0,2697,7.2292,340,1
2,0,5,1,2,34651,27.75,340,3
3,1,11,5,2,2144,46.9,340,3
3,1,22,0,0,2669,7.2292,340,1
1,0,38,0,0,113572,80,340,2.5
1,1,45,1,0,36973,83.475,200,3
3,1,4,3,2,347088,27.9,300,3
1,1,30.2,0,0,17605,27.7208,340,1
3,1,30.2,1,1,2661,15.2458,340,1
2,0,29,0,0,29395,10.5,340,3
3,1,19,0,0,3464,8.1583,600,3
3,0,17,4,2,3101281,7.925,340,3
3,1,26,2,0,315151,8.6625,340,3
2,1,32,0,0,33111,10.5,340,3
3,0,16,5,2,2144,46.9,340,3
2,1,21,0,0,14879,73.5,340,3
3,1,26,1,0,2680,14.4542,340,1
3,1,32,0,0,1601,56.4958,340,3
3,1,25,0,0,348123,7.65,340,3
3,1,30.2,0,0,349208,7.8958,650,3
3,1,30.2,0,0,374746,8.05,340,3
2,1,0.83,0,2,248738,29,340,3
3,0,30,0,0,364516,12.475,340,3
3,1,22,0,0,345767,9,340,3
3,1,29,0,0,345779,9.5,340,3
3,0,30.2,0,0,330932,7.7875,340,2
1,1,28,0,0,113059,47.1,340,3
2,0,17,0,0,14885,10.5,340,3
3,0,33,3,0,3101278,15.85,340,3
3,1,16,1,3,6608,34.375,340,3
3,1,30.2,0,0,392086,8.05,340,3
1,0,23,3,2,19950,263,340,3
3,1,24,0,0,343275,8.05,300,3
3,1,29,0,0,343276,8.05,340,3
3,1,20,0,0,347466,7.8542,340,3
1,1,46,1,0,5734,61.175,340,3
3,1,26,1,2,2315,20.575,500,3
3,1,59,0,0,364500,7.25,340,3
3,1,30.2,0,0,374910,8.05,340,3
1,1,71,0,0,17754,34.6542,340,1
1,1,23,0,1,17759,63.3583,100,1
2,0,34,0,1,231919,23,400,3
2,1,34,1,0,244367,26,340,3
3,0,28,0,0,349245,7.8958,340,3
3,1,30.2,0,0,349215,7.8958,340,3
1,1,21,0,1,35281,77.2875,340,3
3,1,33,0,0,7540,8.6542,400,3
3,1,37,2,0,3101276,7.925,340,3
3,1,28,0,0,349207,7.8958,340,3
3,0,21,0,0,343120,7.65,340,3
3,1,30.2,0,0,312991,7.775,340,3
3,1,38,0,0,349249,7.8958,340,3
3,0,30.2,1,0,371110,24.15,340,2
1,1,47,0,0,110465,52,340,3
3,0,14.5,1,0,2665,14.4542,300,1
3,1,22,0,0,324669,8.05,340,3
3,0,20,1,0,4136,9.825,340,3
3,0,17,0,0,2627,14.4583,340,1
3,1,21,0,0,23101294,7.925,340,3
3,1,70.5,0,0,370369,7.75,340,2
2,1,29,1,0,11668,21,340,3
1,1,24,0,1,17558,247.5208,340,1
3,0,2,4,2,347082,31.275,200,3
2,1,21,2,0,14879,73.5,340,3
3,1,30.2,0,0,454510,8.05,340,3
2,1,32.5,1,0,237736,30.0708,340,1
2,0,32.5,0,0,27267,13,340,3
1,1,54,0,1,35281,77.2875,500,3
3,1,12,1,0,2651,11.2417,400,1
3,1,30.2,0,0,370372,7.75,340,2
3,1,24,0,0,17369,7.1417,340,3
3,0,30.2,1,1,2668,22.3583,340,1
3,1,45,0,0,347061,6.975,550,3
3,1,33,0,0,349241,7.8958,340,1
3,1,20,0,0,3101307,7.05,340,3
3,0,47,1,0,53337,14.5,340,3
2,0,29,1,0,228414,26,340,3
2,1,25,0,0,29178,13,340,3
2,1,23,0,0,2133,15.0458,340,1
1,0,19,0,2,11752,26.2833,340,3
1,1,37,1,0,113803,53.1,400,3
3,1,16,0,0,7534,9.2167,300,3
1,1,24,0,0,17593,79.2,340,1
3,0,30.2,0,2,2678,15.2458,200,1
3,0,22,0,0,347081,7.75,340,3
3,0,24,1,0,23101279,15.85,340,3
3,1,19,0,0,365222,6.75,340,2
2,1,18,0,0,231945,11.5,340,3
2,1,19,1,1,33112,36.75,340,3
3,1,27,0,0,350043,7.7958,340,3
3,0,9,2,2,6608,34.375,340,3
2,1,36.5,0,2,230080,26,340,3
2,1,42,0,0,244310,13,600,3
2,1,51,0,0,1166,12.525,340,3
1,0,22,1,0,113776,66.6,340,3
3,1,55.5,0,0,511206,8.05,300,3
3,1,40.5,0,2,5851,14.5,340,3
3,1,30.2,0,0,265302,7.3125,340,3
1,1,51,0,1,17597,61.3792,340,1
3,0,16,0,0,35851,7.7333,340,2
3,1,30,0,0,392090,8.05,340,3
3,1,30.2,0,0,315037,8.6625,340,3
3,1,30.2,8,2,2343,69.55,340,3
3,1,44,0,1,371362,16.1,340,3
2,0,40,0,0,33595,15.75,340,3
3,1,26,0,0,347068,7.775,340,3
3,1,17,0,0,315093,8.6625,340,3
3,1,1,4,1,3101295,39.6875,340,3
3,1,9,0,2,363291,20.525,340,3
1,0,30.2,0,1,113505,55,340,3
3,0,45,1,4,347088,27.9,500,3
1,1,30.2,0,0,17318,25.925,340,3
3,1,28,0,0,1601,56.4958,340,3
1,1,61,0,0,111240,33.5,340,3
3,1,4,4,1,382652,29.125,200,2
3,0,1,1,1,347742,11.1333,340,3
3,1,21,0,0,23101280,7.925,340,3
1,1,56,0,0,17764,30.6958,340,1
3,1,18,1,1,350404,7.8542,100,3
3,1,30.2,3,1,4133,25.4667,340,3
1,0,50,0,0,17595,28.7125,340,1
2,1,30,0,0,250653,13,300,3
3,1,36,0,0,758086,0,340,3
3,0,30.2,8,2,2343,69.55,340,3
2,1,30.2,0,0,2131,15.05,340,1
3,1,9,4,2,347077,31.3875,340,3
2,1,1,2,1,230136,39,340,3
3,0,4,0,2,315153,22.025,600,3
1,1,30.2,0,0,113767,50,340,3
3,0,30.2,1,0,370365,15.5,100,2
1,1,45,0,0,111428,26.55,340,3
3,1,40,1,1,364849,15.5,340,2
3,1,36,0,0,349247,7.8958,340,3
2,0,32,0,0,234604,13,340,3
2,1,19,0,0,28424,13,340,3
3,0,19,1,0,350046,7.8542,340,3
2,1,3,1,1,230080,26,340,3
1,0,44,0,0,17610,27.7208,600,1
1,0,58,0,0,17569,146.5208,200,1
3,1,30.2,0,0,368703,7.75,200,2
3,1,42,0,1,4579,8.4042,340,3
3,0,30.2,0,0,370370,7.75,340,2
2,0,24,0,0,248747,13,340,3
3,1,28,0,0,345770,9.5,340,3
3,1,30.2,8,2,2343,69.55,340,3
3,1,34,0,0,3101264,6.4958,340,3
3,1,45.5,0,0,2628,7.225,340,1
3,1,18,0,0,53540,8.05,340,3
3,0,2,0,1,347054,10.4625,340,3
3,1,32,1,0,3101278,15.85,700,3
3,1,26,0,0,2699,18.7875,340,1
3,0,16,0,0,367231,7.75,340,2
1,1,40,0,0,112277,31,340,1
3,1,24,0,0,3101311,7.05,100,3
2,0,35,0,0,13528,21,340,3
3,1,22,0,0,521174,7.25,340,3
2,1,30,0,0,250646,13,340,3
3,1,30.2,1,0,367229,7.75,340,2
1,0,31,1,0,35273,113.275,340,1
3,0,27,0,0,23101283,7.925,400,3
2,1,42,1,0,243847,27,340,3
1,0,32,0,0,11813,76.2917,340,1
2,1,30,0,0,14208,10.5,400,3
3,1,16,0,0,392089,8.05,340,3
2,1,27,0,0,220367,13,340,3
3,1,51,0,0,21440,8.05,340,3
3,1,30.2,0,0,349234,7.8958,340,3
1,1,38,1,0,19943,90,340,3
3,1,22,0,0,4348,9.35,300,3
2,1,19,0,0,751,10.5,340,3
3,1,20.5,0,0,521173,7.25,340,3
2,1,18,0,0,236171,13,340,3
3,0,30.2,3,1,4133,25.4667,340,3
1,0,35,1,0,36973,83.475,340,3
3,1,29,0,0,347067,7.775,300,3
2,1,59,0,0,237442,13.5,340,3
3,0,5,4,2,347077,31.3875,340,3
2,1,24,0,0,29566,10.5,340,3
3,0,30.2,0,0,6609,7.55,340,3
2,1,44,1,0,26707,26,340,3
2,0,8,0,2,31921,26.25,340,3
2,1,19,0,0,28665,10.5,340,3
2,1,33,0,0,1585,12.275,340,3
3,0,30.2,1,0,2665,14.4542,340,1
3,0,30.2,1,0,367230,15.5,340,2
2,1,29,0,0,14263,10.5,340,3
3,1,22,0,0,23101275,7.125,340,3
3,1,30,0,0,2694,7.225,340,1
1,1,44,2,0,19928,90,340,2
3,0,25,0,0,347071,7.775,300,3
2,0,24,0,2,250649,14.5,340,3
1,1,37,1,1,11751,52.5542,340,3
2,1,54,1,0,244252,26,400,3
3,1,30.2,0,0,362316,7.25,340,3
3,0,29,1,1,347054,10.4625,340,3
1,1,62,0,0,113514,26.55,700,3
3,1,30,1,0,53336,16.1,300,3
3,0,41,0,2,370129,20.2125,340,3
3,0,29,0,2,2650,15.2458,340,1
1,0,30.2,0,0,17585,79.2,340,1
1,0,30,0,0,110152,86.5,340,3
1,0,35,0,0,17755,512.3292,200,1
2,0,50,0,1,230433,26,340,3
3,1,30.2,0,0,384461,7.75,340,2
3,1,3,4,2,347077,31.3875,340,3
1,1,52,1,1,110413,79.65,340,3
1,1,40,0,0,112059,0,500,3
3,0,30.2,0,0,382649,7.75,200,2
2,1,36,0,0,17248,10.5,340,3
3,1,16,4,1,3101295,39.6875,340,3
3,1,25,1,0,347083,7.775,340,3
1,0,58,0,1,17582,153.4625,340,3
1,0,35,0,0,17760,135.6333,300,3
1,1,30.2,0,0,113798,31,300,3
3,1,25,0,0,758086,0,340,3
2,0,41,0,1,250644,19.5,340,3
1,1,37,0,1,17596,29.7,340,1
3,0,30.2,0,0,370375,7.75,300,2
1,0,63,1,0,13502,77.9583,340,3
3,0,45,0,0,347073,7.75,400,3
2,1,30.2,0,0,239853,0,340,3
3,1,7,4,1,382652,29.125,340,2
3,0,35,1,1,2673,20.25,340,3
3,1,65,0,0,336439,7.75,340,2
3,1,28,0,0,347464,7.8542,340,3
3,1,16,0,0,345778,9.5,340,3
3,1,19,0,0,510482,8.05,340,3
1,1,30.2,0,0,113056,26,340,3
3,1,33,0,0,349239,8.6625,100,1
3,1,30,0,0,345774,9.5,340,3
3,1,22,0,0,349206,7.8958,340,3
2,1,42,0,0,237798,13,340,3
3,0,22,0,0,370373,7.75,340,2
1,0,26,0,0,19877,78.85,340,3
1,0,19,1,0,11967,91.0792,340,1
2,1,36,0,0,2163,12.875,200,1
3,0,24,0,0,349236,8.85,400,3
3,1,24,0,0,349233,7.8958,340,3
1,1,30.2,0,0,17612,27.7208,340,1
3,1,23.5,0,0,2693,7.2292,340,1
1,0,2,1,2,113781,151.55,340,3
1,1,30.2,0,0,19988,30.5,300,3
1,0,50,0,1,17558,247.5208,300,1
3,0,30.2,0,0,9234,7.75,200,2
3,1,30.2,2,0,367226,23.25,340,2
3,1,19,0,0,758086,0,340,3
2,0,30.2,0,0,226593,12.35,340,2
3,1,30.2,0,0,52466,8.05,500,3
1,1,0.92,1,2,113781,151.55,340,3
1,0,30.2,0,0,17421,110.8833,300,1
1,0,17,1,0,17758,108.9,340,1
2,1,30,1,0,3381,24,300,1
1,0,30,0,0,17485,56.9292,340,1
1,0,24,0,0,11767,83.1583,500,1
1,0,18,2,2,17608,262.375,300,1
2,0,26,1,1,250651,26,200,3
3,1,28,0,0,349243,7.8958,340,3
2,1,43,1,1,13529,26.25,340,3
3,0,26,0,0,347470,7.8542,340,3
2,0,24,1,0,244367,26,340,3
2,1,54,0,0,29011,14,340,3
1,0,31,0,2,36928,164.8667,340,3
1,0,40,1,1,16966,134.5,300,1
3,1,22,0,0,521172,7.25,500,3
3,1,27,0,0,349219,7.8958,340,3
2,0,30,0,0,234818,12.35,340,2
2,0,22,1,1,248738,29,340,3
3,1,30.2,8,2,2343,69.55,340,3
1,0,36,0,0,17760,135.6333,340,1
3,1,61,0,0,345364,6.2375,300,3
2,0,36,0,0,28551,13,340,3
3,0,31,1,1,363291,20.525,400,3
1,0,16,0,1,111361,57.9792,340,1
3,0,30.2,2,0,367226,23.25,200,2
1,1,45.5,0,0,113043,28.5,340,3
1,1,38,0,1,17582,153.4625,300,3
3,1,16,2,0,345764,18,300,3
1,0,30.2,1,0,17611,133.65,340,3
3,1,30.2,0,0,349225,7.8958,340,3
1,1,29,1,0,113776,66.6,340,3
1,0,41,0,0,16966,134.5,300,1
3,1,45,0,0,7598,8.05,500,3
1,1,45,0,0,113784,35.5,340,3
2,1,2,1,1,230080,26,800,3
1,0,24,3,2,19950,263,600,3
2,1,28,0,0,248740,13,300,3
2,1,25,0,0,244361,13,340,3
2,1,36,0,0,229236,13,340,3
2,0,24,0,0,248733,13,340,3
2,0,40,0,0,31418,13,600,3
3,0,30.2,1,0,386525,16.1,340,3
3,1,3,1,1,37671,15.9,340,3
3,1,42,0,0,315088,8.6625,340,3
3,1,23,0,0,7267,9.225,340,3
1,1,30.2,0,0,113510,35,340,3
3,1,15,1,1,2695,7.2292,300,1
3,1,25,1,0,349237,17.8,340,3
3,1,30.2,0,0,2647,7.225,340,1
3,1,28,0,0,345783,9.5,340,3
1,0,22,0,1,113505,55,340,3
2,0,38,0,0,237671,13,500,3
3,0,30.2,0,0,330931,7.8792,340,2
3,0,30.2,0,0,330980,7.8792,340,2
3,1,40,1,4,347088,27.9,340,3
2,1,29,1,0,2167,27.7208,340,1
3,0,45,0,1,2691,14.4542,340,1
3,1,35,0,0,3101310,7.05,340,3
3,1,30.2,1,0,370365,15.5,340,2
3,1,30,0,0,7076,7.25,340,3
1,0,60,1,0,110813,75.25,340,1
3,0,30.2,0,0,2626,7.2292,400,1
3,0,30.2,0,0,14313,7.75,340,2
1,0,24,0,0,17477,69.3,340,1
1,1,25,1,0,11765,55.4417,200,1
3,1,18,1,0,3101267,6.4958,500,3
3,1,19,0,0,323951,8.05,340,3
1,1,22,0,0,17760,135.6333,340,1
3,0,3,3,1,349909,21.075,340,3
1,0,30.2,1,0,17604,82.1708,340,1
3,0,22,0,0,7077,7.25,340,3
1,1,27,0,2,113503,211.5,340,1
3,1,20,0,0,2648,4.0125,300,1
3,1,19,0,0,347069,7.775,340,3
1,0,42,0,0,17757,227.525,340,1
3,0,1,0,2,2653,15.7417,340,1
3,1,32,0,0,23101293,7.925,340,3
1,0,35,1,0,113789,52,340,3
3,1,30.2,0,0,349227,7.8958,340,3
2,1,18,0,0,14879,73.5,340,3
3,1,1,5,2,2144,46.9,340,3
2,0,36,0,0,27849,13,340,3
3,1,30.2,0,0,367655,7.7292,340,2
2,0,17,0,0,1748,12,340,1
1,1,36,1,2,113760,120,340,3
3,1,21,0,0,350034,7.7958,200,3
3,1,28,2,0,3101277,7.925,340,3
1,0,23,1,0,35273,113.275,340,1
3,0,24,0,2,9549,16.7,400,3
3,1,22,0,0,350052,7.7958,700,3
3,0,31,0,0,350407,7.8542,340,3
2,1,46,0,0,28403,26,340,3
2,1,23,0,0,244278,10.5,340,3
2,0,28,0,0,240929,12.65,340,3
3,1,39,0,0,23101289,7.925,340,3
3,1,26,0,0,341826,8.05,340,3
3,0,21,1,0,4137,9.825,340,3
3,1,28,1,0,23101279,15.85,340,3
3,0,20,0,0,315096,8.6625,340,3
2,1,34,1,0,28664,21,340,3
3,1,51,0,0,347064,7.75,340,3
2,1,3,1,1,29106,18.75,340,3
3,1,21,0,0,312992,7.775,340,3
3,0,30.2,3,1,4133,25.4667,340,3
3,1,30.2,0,0,349222,7.8958,340,3
3,1,30.2,0,0,394140,6.8583,340,2
1,0,33,1,0,19928,90,340,2
2,1,30.2,0,0,239853,0,300,3
3,1,44,0,0,23101269,7.925,340,3
3,0,30.2,0,0,343095,8.05,340,3
2,0,34,1,1,28220,32.5,340,3
2,0,18,0,2,250652,13,340,3
2,1,30,0,0,28228,13,340,3
3,0,10,0,2,345773,24.15,340,3
3,1,30.2,0,0,349254,7.8958,340,1
3,1,21,0,0,513032,7.7333,340,2
3,1,29,0,0,315082,7.875,340,3
3,0,28,1,1,347080,14.4,340,3
3,1,18,1,1,370129,20.2125,340,3
3,1,30.2,0,0,434244,7.25,340,3
2,0,28,1,0,2003,26,340,3
2,0,19,0,0,250655,26,340,3
3,1,30.2,0,0,364851,7.75,340,2
3,1,32,0,0,392078,8.05,340,3
1,1,28,0,0,110564,26.55,500,3
3,0,30.2,1,0,376564,16.1,300,3
2,0,42,1,0,3085,26,340,3
3,1,17,0,0,23101274,7.125,340,3
1,1,50,1,0,13507,55.9,340,3
1,0,14,1,2,113760,120,500,3
3,0,21,2,2,6608,34.375,200,3
2,0,24,2,3,29106,18.75,340,3
1,1,64,1,4,19950,263,340,3
2,1,31,0,0,18723,10.5,300,3
2,0,45,1,1,13529,26.25,340,3
3,1,20,0,0,345769,9.5,340,3
3,1,25,1,0,347076,7.775,340,3
2,0,28,0,0,230434,13,340,3
3,1,30.2,0,0,65306,8.1125,340,3
1,1,4,0,2,33638,81.8583,340,3
2,0,13,0,1,250644,19.5,100,3
1,1,34,0,0,113794,26.55,340,3
3,0,5,2,1,2666,19.2583,340,1
1,1,52,0,0,113786,30.5,340,3
2,1,36,1,2,34651,27.75,300,3
3,1,30.2,1,0,65303,19.9667,340,3
1,1,30,0,0,113051,27.75,340,1
1,1,49,1,0,17453,89.1042,300,1
3,1,30.2,0,0,52817,8.05,300,3
3,1,29,0,0,349240,7.8958,340,1
1,1,65,0,0,13509,26.55,340,3
1,0,30.2,1,0,17464,51.8625,500,3
2,0,50,0,0,13531,10.5,400,3
3,1,30.2,0,0,371060,7.75,340,2
1,1,48,0,0,19952,26.55,340,3
3,1,34,0,0,364506,8.05,500,3
1,1,47,0,0,111320,38.5,340,3
2,1,48,0,0,234360,13,500,3
3,1,30.2,0,0,2816,8.05,340,3
3,1,38,0,0,3101306,7.05,340,3
2,1,30.2,0,0,239853,0,340,3
1,1,56,0,0,113792,26.55,340,3
3,1,30.2,0,0,36209,7.725,340,2
3,0,0.75,2,1,2666,19.2583,340,1
3,1,30.2,0,0,323592,7.25,340,3
3,1,38,0,0,315089,8.6625,340,3
2,0,33,1,2,34651,27.75,340,3
2,0,23,0,0,541,13.7917,340,1
3,0,22,0,0,7553,9.8375,400,3
1,1,30.2,0,0,110465,52,340,3
2,1,34,1,0,31027,21,100,3
3,1,29,1,0,3460,7.0458,340,3
3,1,22,0,0,350060,7.5208,340,3
3,0,2,0,1,3101298,12.2875,340,3
3,1,9,5,2,2144,46.9,340,3
2,1,30.2,0,0,239854,0,340,3
3,1,50,0,0,53594,8.05,340,3
3,0,63,0,0,4134,9.5875,340,3
1,1,25,1,0,11967,91.0792,340,1
3,0,30.2,3,1,4133,25.4667,200,3
1,0,35,1,0,19943,90,340,3
1,1,58,0,0,11771,29.7,300,1
3,1,30,0,0,518509,8.05,200,3
3,1,9,1,1,37671,15.9,340,3
3,1,30.2,1,0,65304,19.9667,340,3
3,1,21,0,0,3101317,7.25,340,3
1,1,55,0,0,113787,30.5,340,3
1,1,71,0,0,17609,49.5042,300,1
3,1,21,0,0,445380,8.05,340,3
3,1,30.2,0,0,2627,14.4583,340,1
1,0,54,1,0,36947,78.2667,340,1
3,1,30.2,0,0,6212,15.1,400,3
1,0,25,1,2,113781,151.55,340,3
3,1,24,0,0,350035,7.7958,300,3
3,1,17,0,0,315086,8.6625,340,3
3,0,21,0,0,364846,7.75,340,2
3,0,30.2,0,0,330909,7.6292,340,2
3,0,37,0,0,4135,9.5875,340,3
1,0,16,0,0,110152,86.5,340,3
1,1,18,1,0,17758,108.9,200,1
2,0,33,0,2,26360,26,300,3
1,1,30.2,0,0,111427,26.55,340,3
3,1,28,0,0,4001,22.525,340,3
3,1,26,0,0,1601,56.4958,340,3
3,1,29,0,0,382651,7.75,340,2
3,1,30.2,0,0,3101316,8.05,340,3
1,1,36,0,0,17473,26.2875,340,3
1,0,54,1,0,17603,59.4,500,1
3,1,24,0,0,349209,7.4958,340,3
1,1,47,0,0,36967,34.0208,340,3
2,0,34,0,0,34260,10.5,400,3
3,1,30.2,0,0,371110,24.15,600,2
2,0,36,1,0,226875,26,340,3
3,1,32,0,0,349242,7.8958,340,3
1,0,30,0,0,12749,93.5,340,3
3,1,22,0,0,349252,7.8958,200,3
3,1,30.2,0,0,2624,7.225,340,1
1,0,44,0,1,111361,57.9792,340,1
3,1,30.2,0,0,2700,7.2292,200,1
3,1,40.5,0,0,367232,7.75,340,2
2,0,50,0,0,14258,10.5,340,3
1,1,30.2,0,0,17483,221.7792,340,3
3,1,39,0,0,3101296,7.925,300,3
2,1,23,2,1,29104,11.5,340,3
2,0,2,1,1,26360,26,340,3
3,1,30.2,0,0,2641,7.2292,340,1
3,1,17,1,1,2690,7.2292,340,1
3,0,30.2,0,2,2668,22.3583,340,1
3,0,30,0,0,315084,8.6625,340,3
2,0,7,0,2,13529,26.25,340,3
1,1,45,0,0,113050,26.55,340,3
1,0,30,0,0,17761,106.425,200,1
3,1,30.2,0,0,364498,14.5,340,3
1,0,22,0,2,13568,49.5,340,1
1,0,36,0,2,5735,71,200,3
3,0,9,4,2,347082,31.275,200,3
3,0,11,4,2,347082,31.275,340,3
2,1,32,1,0,2908,26,340,3
1,1,50,1,0,17761,106.425,340,1
1,1,64,0,0,693,26,300,3
2,0,19,1,0,2908,26,340,3
2,1,30.2,0,0,2146,13.8625,340,1
3,1,33,1,1,363291,20.525,340,3
2,1,8,1,1,33112,36.75,340,3
1,1,17,0,2,17421,110.8833,340,1
2,1,27,0,0,244358,26,300,3
3,1,30.2,0,0,330979,7.8292,340,2
3,1,22,0,0,2620,7.225,340,1
3,0,22,0,0,347085,7.775,340,3
1,1,62,0,0,113807,26.55,340,3
1,0,48,1,0,11755,39.6,340,1
1,1,30.2,0,0,17757,227.525,100,1
1,0,39,1,1,110413,79.65,340,3
3,0,36,1,0,345572,17.4,500,3
3,1,30.2,0,0,372622,7.75,340,2
3,1,40,0,0,349251,7.8958,340,3
2,1,28,0,0,218629,13.5,340,3
3,1,30.2,0,0,392082,8.05,340,3
3,0,30.2,0,0,392087,8.05,340,3
3,1,24,2,0,448871,24.15,340,3
3,1,19,0,0,349205,7.8958,340,3
3,0,29,0,4,349909,21.075,340,3
3,1,30.2,0,0,2686,7.2292,340,1
3,1,32,0,0,350417,7.8542,340,3
2,1,62,0,0,752,10.5,340,3
1,0,53,2,0,11769,51.4792,340,3
1,1,36,0,0,17474,26.3875,300,3
3,0,30.2,0,0,14312,7.75,500,2
3,1,16,0,0,420589,8.05,340,3
3,1,19,0,0,358585,14.5,340,3
2,0,34,0,0,243880,13,340,3
1,0,39,1,0,13507,55.9,340,3
3,0,30.2,1,0,2689,14.4583,500,1
3,1,32,0,0,23101286,7.925,340,3
2,0,25,1,1,237789,30,340,3
1,0,39,1,1,17421,110.8833,340,1
2,1,54,0,0,28403,26,300,3
1,1,36,0,0,13049,40.125,340,1
3,1,30.2,0,0,3411,8.7125,100,1
1,0,18,0,2,110413,79.65,340,3
2,1,47,0,0,237565,15,500,3
1,1,60,1,1,13567,79.2,340,1
3,1,22,0,0,14973,8.05,200,3
3,1,30.2,0,0,53235,8.05,340,3
3,1,35,0,0,23101273,7.125,340,3
1,0,52,1,0,36947,78.2667,340,1
3,1,47,0,0,53902,7.25,400,3
3,0,30.2,0,2,364848,7.75,340,2
2,1,37,1,0,29037,26,340,3
3,1,36,1,1,345773,24.15,340,3
2,0,30.2,0,0,248727,33,340,3
3,1,49,0,0,758086,0,340,3
3,1,30.2,0,0,2664,7.225,340,1
1,1,49,1,0,17485,56.9292,340,1
2,0,24,2,1,243847,27,100,3
3,1,30.2,0,0,349214,7.8958,340,3
1,1,30.2,0,0,113796,42.4,340,3
3,1,44,0,0,364511,8.05,340,3
1,1,35,0,0,111426,26.55,340,1
3,1,36,1,0,349910,15.55,340,3
3,1,30,0,0,349246,7.8958,340,3
1,1,27,0,0,113804,30.5,340,3
2,0,22,1,2,2123,41.5792,340,1
1,0,40,0,0,17582,153.4625,340,3
3,0,39,1,5,347082,31.275,300,3
3,1,30.2,0,0,3101305,7.05,340,3
3,0,30.2,1,0,367230,15.5,340,2
3,1,30.2,0,0,370377,7.75,340,2
3,1,35,0,0,364512,8.05,340,3
2,0,24,1,2,220845,65,340,3
3,1,34,1,1,347080,14.4,340,3
3,0,26,1,0,53336,16.1,340,3
2,0,4,2,1,230136,39,340,3
2,1,26,0,0,31028,10.5,600,3
3,1,27,1,0,2659,14.4542,340,1
1,1,42,1,0,11753,52.5542,340,3
3,1,20,1,1,2653,15.7417,400,1
3,1,21,0,0,350029,7.8542,340,3
3,1,21,0,0,54636,16.1,340,3
1,1,61,0,0,36963,32.3208,340,3
2,1,57,0,0,219533,12.35,400,2
1,0,21,0,0,13502,77.9583,340,3
3,1,26,0,0,349224,7.8958,400,3
3,1,30.2,0,0,334912,7.7333,340,2
1,1,80,0,0,27042,30,340,3
3,1,51,0,0,347743,7.0542,100,3
1,1,32,0,0,13214,30.5,340,1
1,1,30.2,0,0,112052,0,200,3
3,0,9,3,2,347088,27.9,340,3
2,0,28,0,0,237668,13,340,3
3,1,32,0,0,23101292,7.925,340,3
2,1,31,1,1,31921,26.25,340,3
3,0,41,0,5,3101295,39.6875,340,3
3,1,30.2,1,0,376564,16.1,340,3
3,1,20,0,0,350050,7.8542,340,3
1,0,24,0,0,17477,69.3,340,1
3,0,2,3,2,347088,27.9,200,3
3,1,30.2,0,0,1601,56.4958,340,3
3,0,0.75,2,1,2666,19.2583,340,1
1,1,48,1,0,17572,76.7292,340,1
3,1,19,0,0,349231,7.8958,400,3
